SVI NLL,Mode,LR,AR PPL,VAE REC,VAE KL,VAE PPL,SVI KL,VAE NLL,SVI REC,Epoch,AR NLL,SVI PPL,Epoch Train Time
117.67441220506362,Val,0.001,1.0,115.34967333570079,2.5256983574490874,218.23552568605808,2.822862238947645,117.87537169314987,114.85154996611598,1,0.0,216.24094904792884,495.47077775001526
116.780072763479,Test,0.001,1.0,114.5437180294188,2.432981320436696,207.93970651749146,2.718827343975981,116.9766993498555,114.06124541950302,1,0.0,206.0825391619474,495.47077775001526
112.26610996178421,Val,0.0009755282581475768,1.0,109.65257003371015,2.6890077398509584,169.48135330174267,3.196281705058293,112.34157777356111,109.06982825672591,2,0.0,168.89798321119181,483.0956611633301
111.26272979628308,Test,0.0009755282581475768,1.0,108.69278546515629,2.652821772341334,160.82561179255833,3.10477536956353,111.34560723749763,108.15795442671954,2,0.0,160.21861175958188,483.0956611633301
109.24888175450022,Val,0.0009045084971874737,1.0,106.57744420784518,2.870721427340182,148.49430587222028,3.1183657209314295,109.44816563518536,106.1305160335688,3,0.0,147.14839799749757,477.7873706817627
108.47776283906578,Test,0.0009045084971874737,1.0,105.77098408064859,2.8593489347826577,142.08591524458447,3.024038017731149,108.63033301543125,105.45372482133463,3,0.0,141.1002533434512,477.7873706817627
107.05213016784509,Val,0.0007938926261462366,1.0,105.14206617111975,2.0774385316081854,134.11825992633905,2.159645216259829,107.21950470272795,104.89248495158526,4,0.0,133.09655193191074,479.9036362171173
106.10509299533032,Test,0.0007938926261462366,1.0,104.27397574962565,2.000940256662681,127.60789730432462,2.042236313782484,106.27491600628832,104.06285668154784,4,0.0,126.62295530754166,479.9036362171173
106.12510628449104,Val,0.0006545084971874737,1.0,104.57036684641852,1.6281699406110215,128.00575580069332,1.7850729018715086,106.19853678702954,104.34003338261952,5,0.0,127.57702303262484,483.1998977661133
105.01802641343512,Test,0.0006545084971874737,1.0,103.65848284672943,1.5635914158960569,121.6228276310713,1.613352015515459,105.22207426262548,103.40467439791966,5,0.0,120.49577271670277,483.1998977661133
105.30995110517439,Val,0.0005,1.0,104.05413722850449,1.3562584739941164,123.47837908857765,1.512404063052169,105.4103957024986,103.79754704212223,6,0.0,122.91301222991082,475.8485939502716
104.32721477257257,Test,0.0005,1.0,103.10147344923438,1.3053887159511848,117.1821227408661,1.4161920436548763,104.40686216518556,102.9110227289177,6,0.0,116.7570511553279,475.8485939502716
104.96794574750638,Val,0.00034549150281252633,1.0,103.68235882778903,1.3794064870043394,121.52713806570708,1.4731346065460398,105.06176531479338,103.49481114096034,7,0.0,121.007327358939,472.69957447052
103.93731841721518,Test,0.00034549150281252633,1.0,102.6920956140248,1.3168287751079397,115.07369906274904,1.3987913981171183,104.00892438913273,102.53852701909807,7,0.0,114.69835107261832,472.69957447052
104.74570437455743,Val,0.00020610737385376348,1.0,103.54040597751515,1.3398810748530425,120.52366056057787,1.4517292960991846,104.8802870523682,103.29397507845825,8,0.0,119.78484516458438,482.1925792694092
103.7678464986691,Test,0.00020610737385376348,1.0,102.55946666932556,1.3099035359275242,114.34330868530873,1.386296851612475,103.86937020525309,102.38154964705662,8,0.0,113.8148746560664,482.1925792694092
104.69447965973032,Val,9.549150281252633e-05,1.0,103.43014680143634,1.3126100487454355,119.76871499135822,1.4119708817949634,104.74275685018178,103.28250877793536,9,0.0,119.50482951272484,490.3246314525604
103.68516034228597,Test,9.549150281252633e-05,1.0,102.48041266096745,1.2645059733576547,113.69587285917015,1.3442841187590964,103.7449186343251,102.34087622352688,9,0.0,113.38629565193216,490.3246314525604
104.65482205754749,Val,2.4471741852423235e-05,1.0,103.43271672506361,1.335835399737344,119.9099519910659,1.4200552476708188,104.76855212480095,103.23476680987666,10,0.0,119.28849415273991,483.89734745025635
103.70155498990034,Test,2.4471741852423235e-05,1.0,102.44757635724636,1.2844112261721696,113.62881210323796,1.373572629758317,103.73198758341853,102.32798236014202,10,0.0,113.47114394898364,483.89734745025635
106.12528090052506,Val,0.001,1.0,101.25290235921254,5.0509268951699005,128.62303385644057,5.567956782236298,106.30382925438244,100.55732411828876,11,0.0,127.57804084402059,485.81460452079773
105.15819593935183,Test,0.001,1.0,100.2167314434584,5.062124161985256,121.93832917003175,5.518283346237511,105.27885560544365,99.63991259311432,11,0.0,121.26886786055016,485.81460452079773
105.04130711909218,Val,0.0009755282581475768,1.0,101.1945137923832,4.060028220284233,122.60224280463422,4.352175555526326,105.25454201266744,100.68913156356585,12,0.0,121.41359865432187,480.89058899879456
103.965619430045,Test,0.0009755282581475768,1.0,100.12947019963973,4.011300039937984,115.76803159751657,4.261830642546025,104.14077023957772,99.70378878749897,12,0.0,114.84655428388645,480.89058899879456
104.43160702283728,Val,0.0009045084971874737,1.0,101.44087953822195,3.1051375982669414,118.69696376299584,3.446492851947818,104.5460171364889,100.98511417088947,13,0.0,118.07812368673751,475.71692538261414
103.21638492446287,Test,0.0009045084971874737,1.0,100.31292492162353,3.071923832442018,111.8432502840806,3.3516214077094233,103.38484875406556,99.86476351675344,13,0.0,110.98687038651303,475.71692538261414
103.88628558797723,Val,0.0007938926261462366,1.0,101.63034142485712,2.476814041116471,116.34066961599767,2.6338263483005036,104.10715546597359,101.25245923967672,14,0.0,115.1725492489382,487.6785807609558
102.72183899104802,Test,0.0007938926261462366,1.0,100.50275416984041,2.416241079164737,109.49107422919337,2.565228547798893,102.91899524900515,100.15661044324912,14,0.0,108.51055657309178,487.6785807609558
