SVI NLL,VAE PPL,VAE KL,Epoch,Epoch Train Time,VAE REC,AR NLL,SVI PPL,LR,SVI KL,VAE NLL,SVI REC,Mode,AR PPL
0.0,263.0302332119868,2.833034293977019,1,32.06020426750183,119.12855621643519,0.0,1.0,0.001,0.0,121.96159051041221,0.0,Val,1.0
0.0,248.5993592196852,2.745740834115446,1,32.06020426750183,118.14522051741487,0.0,1.0,0.001,0.0,120.89096135153031,0.0,Test,1.0
0.0,212.68047578292118,4.812894309663631,2,31.818970203399658,112.49813793986063,0.0,1.0,0.001,0.0,117.31103224952426,0.0,Val,1.0
0.0,201.17658550098818,4.8032930255475055,2,31.818970203399658,111.44871692003262,0.0,1.0,0.001,0.0,116.25200994558013,0.0,Test,1.0
0.0,180.45331711508905,4.681791721041195,3,31.731821060180664,109.03275518785244,0.0,1.0,0.001,0.0,113.71454690889364,0.0,Val,1.0
0.0,170.69214912242663,4.6632504865103215,3,31.731821060180664,107.98731975966203,0.0,1.0,0.001,0.0,112.65057024617235,0.0,Test,1.0
0.0,165.3942981308754,4.713892283708476,4,31.47104501724243,107.09340477739669,0.0,1.0,0.001,0.0,111.80729706110516,0.0,Val,1.0
0.0,156.60916631192273,4.691345577130956,4,31.47104501724243,106.07198485780415,0.0,1.0,0.001,0.0,110.76333043493511,0.0,Test,1.0
0.0,150.57824427131214,4.404273134876783,5,31.64012575149536,105.34891814591269,0.0,1.0,0.001,0.0,109.75319128078948,0.0,Val,1.0
0.0,143.2238832990439,4.373160136059794,5,31.64012575149536,104.43200758574206,0.0,1.0,0.001,0.0,108.80516772180185,0.0,Test,1.0
0.0,143.2267119714599,3.9870231813776034,6,30.857563257217407,104.67062260927716,0.0,1.0,0.001,0.0,108.65764579065475,0.0,Val,1.0
0.0,135.61011379825865,3.9497880367673606,6,30.857563257217407,103.65815976413442,0.0,1.0,0.001,0.0,107.60794780090178,0.0,Test,1.0
0.0,137.05437908108541,3.6398641967631944,7,30.54578995704651,104.05362680022016,0.0,1.0,0.001,0.0,107.69349099698336,0.0,Val,1.0
0.0,129.54543687084032,3.5990137941689606,7,30.54578995704651,103.00617941729853,0.0,1.0,0.001,0.0,106.6051932114675,0.0,Test,1.0
0.0,132.32939849241762,3.051593986816859,8,31.28803563117981,103.87401563208606,0.0,1.0,0.001,0.0,106.92560961890291,0.0,Val,1.0
0.0,125.15837768914373,3.010762279320828,8,31.28803563117981,102.83935094608712,0.0,1.0,0.001,0.0,105.85011322540794,0.0,Test,1.0
0.0,128.40387390768004,2.456742012925247,9,29.85588049888611,103.80976190708512,0.0,1.0,0.001,0.0,106.26650392001036,0.0,Val,1.0
0.0,121.43230147159878,2.428658453684733,9,29.85588049888611,102.75905511912372,0.0,1.0,0.001,0.0,105.18771357280845,0.0,Test,1.0
0.0,125.98242810376145,2.2307291676099648,10,29.819165468215942,103.61908276328701,0.0,1.0,0.001,0.0,105.84981193089698,0.0,Val,1.0
0.0,118.63948591434712,2.2049979381946705,10,29.819165468215942,102.47275966065135,0.0,1.0,0.001,0.0,104.67775759884601,0.0,Test,1.0
0.0,123.81508151862056,2.0698245969653484,11,30.0262234210968,103.40017228989643,0.0,1.0,0.001,0.0,105.46999688686178,0.0,Val,1.0
0.0,116.37184619973479,2.050789059460464,11,30.0262234210968,102.20399744286875,0.0,1.0,0.001,0.0,104.25478650232922,0.0,Test,1.0
0.0,122.93653461911745,1.938131010001774,12,29.788557291030884,103.37600834928564,0.0,1.0,0.001,0.0,105.31413935928741,0.0,Val,1.0
0.0,115.66810806368866,1.918429472857858,12,29.788557291030884,102.20341521290761,0.0,1.0,0.001,0.0,104.12184468576548,0.0,Test,1.0
0.0,121.1848609387866,1.8646498391819284,13,29.770153284072876,103.135383820463,0.0,1.0,0.001,0.0,105.00003365964493,0.0,Val,1.0
0.0,114.05084302025863,1.8595584291817184,13,29.770153284072876,101.9536808628061,0.0,1.0,0.001,0.0,103.81323929198781,0.0,Test,1.0
0.0,120.36902128133096,1.6779825476935073,14,29.740245819091797,103.17420379599054,0.0,1.0,0.001,0.0,104.85218634368404,0.0,Val,1.0
0.0,112.67203951362457,1.6522640422188644,14,29.740245819091797,101.89439722794987,0.0,1.0,0.001,0.0,103.54666127016873,0.0,Test,1.0
0.0,118.97099820335124,1.6633772707834442,15,29.102376222610474,102.93311246849309,0.0,1.0,0.001,0.0,104.59648973927654,0.0,Val,1.0
0.0,111.44250921655669,1.6472876117730895,15,29.102376222610474,101.65889003675562,0.0,1.0,0.001,0.0,103.30617764852872,0.0,Test,1.0
0.0,118.69792243964166,1.5470256927459105,16,29.496710538864136,102.99916821912771,0.0,1.0,0.001,0.0,104.54619391187362,0.0,Val,1.0
0.0,110.59202150686248,1.5227616556905996,16,29.496710538864136,101.61551177454135,0.0,1.0,0.001,0.0,103.13827343023195,0.0,Test,1.0
0.0,118.00857257786912,1.5002125706446277,17,29.934346914291382,102.91849849570752,0.0,1.0,0.001,0.0,104.41871106635216,0.0,Val,1.0
0.0,110.18224325367751,1.4943501679100466,17,29.934346914291382,101.56256289128387,0.0,1.0,0.001,0.0,103.05691305919392,0.0,Test,1.0
0.0,117.67301483201602,1.4020528665989727,18,29.886164665222168,102.95433311037918,0.0,1.0,0.001,0.0,104.35638597697816,0.0,Val,1.0
0.0,110.32765366722751,1.3872592359646556,18,29.886164665222168,101.69855925416223,0.0,1.0,0.001,0.0,103.0858184901269,0.0,Test,1.0
