VAE KL,Mode,VAE NLL,VAE REC,Epoch Train Time,AR PPL,SVI NLL,AR NLL,SVI KL,LR,SVI PPL,VAE PPL,SVI REC,Epoch
1.9111853173207105,Val,121.15034733450908,119.23916201718836,30.08121156692505,1.0,0.0,0.0,0.0,0.001,1.0,253.45956877344207,0.0,1
1.838664686646559,Test,120.17285288170245,118.3341881950559,30.08121156692505,1.0,0.0,0.0,0.0,0.001,1.0,240.5860349288636,0.0,1
1.7609655006437699,Val,115.34293449523717,113.58196899459341,29.266661167144775,1.0,0.0,0.0,0.0,0.0009755282581475768,1.0,194.3908957071229,0.0,2
1.721404609496972,Test,114.3808264884344,112.65942187893742,29.266661167144775,1.0,0.0,0.0,0.0,0.0009755282581475768,1.0,184.71375056904068,0.0,2
1.5626568383738972,Val,112.3551067649257,110.7924499265518,28.51241135597229,1.0,0.0,0.0,0.0,0.0009045084971874737,1.0,169.5861458897502,0.0,3
1.4977563856621747,Test,111.28002207796962,109.78226569230745,28.51241135597229,1.0,0.0,0.0,0.0,0.0009045084971874737,1.0,160.34507218464472,0.0,3
1.2597373181263134,Val,110.521725713455,109.26198839532869,28.432560205459595,1.0,0.0,0.0,0.0,0.0007938926261462366,1.0,155.959475211691,0.0,4
1.2170704778831585,Test,109.48672273599367,108.2696522581105,28.432560205459595,1.0,0.0,0.0,0.0,0.0007938926261462366,1.0,147.74769510077118,0.0,4
1.0611447504348501,Val,109.2423122731709,108.18116752273605,28.89603614807129,1.0,0.0,0.0,0.0,0.0006545084971874737,1.0,147.10423785781356,0.0,5
1.0194271296872892,Test,108.18262958103467,107.16320245134739,28.89603614807129,1.0,0.0,0.0,0.0,0.0006545084971874737,1.0,139.21294364310566,0.0,5
1.036545123226211,Val,108.48757506715084,107.45102994392462,29.15499234199524,1.0,0.0,0.0,0.0,0.0005,1.0,142.11810816738668,0.0,6
0.9863937000103435,Test,107.39545869175518,106.40906499174484,29.15499234199524,1.0,0.0,0.0,0.0,0.0005,1.0,134.30170572637542,0.0,6
1.031778075928504,Val,107.93746630855414,106.90568823262562,28.92559003829956,1.0,0.0,0.0,0.0,0.00034549150281252633,1.0,138.59065973588045,0.0,7
0.9799525932773128,Test,106.78967785465214,105.80972526137482,28.92559003829956,1.0,0.0,0.0,0.0,0.00034549150281252633,1.0,130.64047558264042,0.0,7
0.9973100683101914,Val,107.65343402765625,106.65612395934606,28.917967557907104,1.0,0.0,0.0,0.0,0.00020610737385376348,1.0,136.80377817013047,0.0,8
0.9566256395285829,Test,106.51076568508205,105.55414004555347,28.917967557907104,1.0,0.0,0.0,0.0,0.00020610737385376348,1.0,128.98850311162042,0.0,8
1.0338444441822232,Val,107.4775260643188,106.44368162013657,30.45381736755371,1.0,0.0,0.0,0.0,9.549150281252633e-05,1.0,135.70869138236668,0.0,9
0.9855415306448524,Test,106.34055551568409,105.35501398503924,30.45381736755371,1.0,0.0,0.0,0.0,9.549150281252633e-05,1.0,127.99064396524435,0.0,9
1.0228780722494295,Val,107.41330214495652,106.39042407270709,29.10244917869568,1.0,0.0,0.0,0.0,2.4471741852423235e-05,1.0,135.31106385751818,0.0,10
0.9771247629360518,Test,106.30595992471874,105.32883516178268,29.10244917869568,1.0,0.0,0.0,0.0,2.4471741852423235e-05,1.0,127.78877279801381,0.0,10
3.627313651033962,Val,108.34600067909818,104.71868702806422,29.16182041168213,1.0,0.0,0.0,0.0,0.001,1.0,141.20180481438746,0.0,11
3.6097483065685547,Test,107.21069302998842,103.60094472341986,29.16182041168213,1.0,0.0,0.0,0.0,0.001,1.0,133.17427073555123,0.0,11
3.3471457864481193,Val,107.35954310147628,104.01239731502815,29.225013732910156,1.0,0.0,0.0,0.0,0.0009755282581475768,1.0,134.97912309269074,0.0,12
3.329689816825094,Test,106.1514148920719,102.8217250752468,29.225013732910156,1.0,0.0,0.0,0.0,0.0009755282581475768,1.0,126.89085723422599,0.0,12
2.7226586450455095,Val,106.382605190836,103.65994654579049,29.253832817077637,1.0,0.0,0.0,0.0,0.0009045084971874737,1.0,129.0868043362114,0.0,13
2.7030236180302185,Test,105.28395519330127,102.58093157527105,29.253832817077637,1.0,0.0,0.0,0.0,0.0009045084971874737,1.0,121.96670469323121,0.0,13
1.8421681982650246,Val,105.86374441606354,104.02157621779853,29.011077404022217,1.0,0.0,0.0,0.0,0.0007938926261462366,1.0,126.06264868246218,0.0,14
1.7789013772941402,Test,104.57511941258561,102.79621803529146,29.011077404022217,1.0,0.0,0.0,0.0,0.0007938926261462366,1.0,118.08519246219177,0.0,14
1.4875524331978591,Val,105.27557224314715,103.78801980994929,29.52324914932251,1.0,0.0,0.0,0.0,0.0006545084971874737,1.0,122.72010108537155,0.0,15
1.4308682567767088,Test,104.07804186115618,102.64717360437946,29.52324914932251,1.0,0.0,0.0,0.0,0.0006545084971874737,1.0,115.43716768697765,0.0,15
1.4416855970812126,Val,105.18587590738115,103.74419031029993,30.108399391174316,1.0,0.0,0.0,0.0,0.0005,1.0,122.21820962135683,0.0,16
1.3760736477688822,Test,103.86490445075533,102.48883080298646,30.108399391174316,1.0,0.0,0.0,0.0,0.0005,1.0,114.32001279094469,0.0,16
1.375377462994451,Val,104.93134998253792,103.55597251954347,29.68134570121765,1.0,0.0,0.0,0.0,0.00034549150281252633,1.0,120.80517050561485,0.0,17
1.3126232269928513,Test,103.59541875245216,102.2827955254593,29.68134570121765,1.0,0.0,0.0,0.0,0.00034549150281252633,1.0,112.92297300221607,0.0,17
